detectorType, descriptorType, n_detected_keypoints, n_matched_keypoints, time
SIFT,BRIEF,134,137,0.555315
SIFT,BRIEF,140,134,0.55823
SIFT,BRIEF,137,140,0.566046
SIFT,BRIEF,148,137,0.592796
SIFT,BRIEF,159,148,0.55716
SIFT,BRIEF,137,159,0.560176
detectorType, descriptorType, n_detected_keypoints, n_matched_keypoints, time
SIFT,FREAK,132,137,0.253445
SIFT,FREAK,124,131,0.241148
SIFT,FREAK,137,123,0.244532
SIFT,FREAK,134,136,0.240999
SIFT,FREAK,140,133,0.244731
SIFT,FREAK,137,139,0.242979
SIFT,FREAK,148,135,0.243827
SIFT,FREAK,159,147,0.248723
SIFT,FREAK,137,158,0.247911
detectorType, descriptorType, n_detected_keypoints, n_matched_keypoints, time
AKAZE,AKAZE,157,166,0.228103
AKAZE,AKAZE,161,157,0.233245
AKAZE,AKAZE,155,161,0.233302
AKAZE,AKAZE,163,155,0.241185
AKAZE,AKAZE,164,163,0.24102
AKAZE,AKAZE,173,164,0.239068
AKAZE,AKAZE,175,173,0.241369
AKAZE,AKAZE,177,175,0.229564
AKAZE,AKAZE,179,177,0.224505
